,ASH
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.005597014925373012
Growth 1yr High Est,0.132996632996633
Growth 1yr Consensus Est,0.069296823961003
Growth 2yr Low Est,0.0037261512474732195
Growth 2yr High Est,0.1341060430956419
Growth 2yr Consensus Est,0.06891609717155756
Growth 5yr Low Est,0.0037261512474732195
Growth 5yr High Est,0.1341060430956419
Growth 5yr Consensus Est,0.06891609717155756
Growth 5yr Actual/Est,0.27100627474483313
Growth 3yr Historic,0.2148214285714286
