,ASH
% Below High,0.011399999999999999
% Held by Institutions,0.9603
52-Wk Range,['83.29 - 112.99']
Annual Dividend $,1.34
Annual Dividend %,0.012
Ask,112.19
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,93.0
Bid Size,200.0
Closing Price,111.7
Day Change $,0.18
Day Change %,0.0016
Day High,112.52
Day Low,111.44
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.28
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.289
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,6.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",34.08
Prev Close,111.52
Shares Outstanding,54.1M
Short Interest,0.013999999999999999
Today's Open,111.71
Volume,70475.0
Volume 10-day Avg,382534.0
Volume Past Day,(Light)
