,LEG
% Above Low,0.1813
% Held by Institutions,0.7236
52-Wk Range,['30.28 - 43.89']
Annual Dividend $,1.76
Annual Dividend %,0.0492
Ask,36.79
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,33.29
Bid Size,200.0
Closing Price,35.77
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",2.65
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.334
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,4.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.48
Prev Close,35.77
Shares Outstanding,132.6M
Short Interest,0.0584
Today's Open,
Volume,208544.0
Volume 10-day Avg,689694.0
Volume Past Day,(Light)
