,LEG
Price/Earnings (TTM),13.48219
Price/Sales (TTM),0.89752
Price/Book (MRQ),3.03565
Price/Cash Flow (TTM),8.72547
5yr Low,22.03
5yr High,59.16
5yr Avg Return,-0.024799999999999992
EPS Growth 5yr,0.0236255
Revenue Growth 5yr,0.062287800000000004
Dividend Growth 5yr,0.04376
Short Int Current Month,7632371.0
Short Int Prev Month,8606724.0
Short Int Pct of Float,0.058422999999999996
Days to Cover,9.71774
Float,130.7183
Shares Outstanding,132.5774
Institutions Holding Shares,526.0
% Held by Institutions,0.723561
FCF Growth 5yr,0.973955378345806
