,WAT
Price/Earnings (TTM),29.48048
Price/Sales (TTM),6.80754
Price/Book (MRQ),52.23883
Price/Cash Flow (TTM),24.19938
5yr Low,154.39
5yr High,428.22
5yr Avg Return,0.10903333333333334
EPS Growth 5yr,0.1176378
Revenue Growth 5yr,0.0514862
Dividend Growth 5yr,
Short Int Current Month,1494706.0
Short Int Prev Month,1478058.0
Short Int Pct of Float,0.0253044
Days to Cover,3.86308
Float,59.07746
Shares Outstanding,59.40758
Institutions Holding Shares,974.0
% Held by Institutions,0.8960349999999999
FCF Growth 5yr,0.004717194147245955
