,WAT
% Below High,0.11630000000000001
% Held by Institutions,0.8959999999999999
52-Wk Range,['265.61 - 375.24']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,331.24
Bid Size,
Closing Price,331.6
Day Change $,-6.43
Day Change %,-0.019
Day High,338.25
Day Low,329.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",11.47
Ex-dividend Date,No dividend
Historical Volatility,0.337
Last (size),195.0
Last (time),7:00p ET 11/28/22
Market Cap,19.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.48
Prev Close,338.03
Shares Outstanding,59.4M
Short Interest,0.0253
Today's Open,336.35
Volume,294395.0
Volume 10-day Avg,277948.0
Volume Past Day,(Average)
