,GFF
% Below High,0.0044
% Held by Institutions,0.7437
52-Wk Range,['17.56 - 36.75']
Annual Dividend $,0.4
Annual Dividend %,0.0109
Ask,36.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,36.33
Bid Size,100.0
Closing Price,36.59
Day Change $,0.35
Day Change %,0.0097
Day High,36.75
Day Low,36.05
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",-5.6
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.512
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,36.24
Shares Outstanding,57.1M
Short Interest,0.024
Today's Open,36.33
Volume,163201.0
Volume 10-day Avg,454940.0
Volume Past Day,(Light)
