,GFF
Price/Earnings (TTM),
Price/Sales (TTM),0.73301
Price/Book (MRQ),4.37207
Price/Cash Flow (TTM),
5yr Low,9.15
5yr High,36.68
5yr Avg Return,0.17866666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1331022
Dividend Growth 5yr,0.0844718
Short Int Current Month,1102045.0
Short Int Prev Month,1344579.0
Short Int Pct of Float,0.023989600000000003
Days to Cover,3.50024
Float,46.49188
Shares Outstanding,57.06433
Institutions Holding Shares,282.0
% Held by Institutions,0.743691
FCF Growth 5yr,-0.2945126945126946
