,GFF
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.9565217391304348
Growth 1yr High Est,0.855
Growth 1yr Consensus Est,0.9057608695652174
Growth 2yr Low Est,0.43103864734299513
Growth 2yr High Est,0.450411051212938
Growth 2yr Consensus Est,0.44072484927796657
Growth 5yr Low Est,0.26039111854329244
Growth 5yr High Est,0.27823582863677204
Growth 5yr Consensus Est,0.26931347359003227
Growth 5yr Actual/Est,0.312474963684641
Growth 3yr Historic,0.33408004778972517
