,SB
% Above Low,0.19940000000000002
% Held by Institutions,0.262
52-Wk Range,['2.35 - 5.12']
Annual Dividend $,0.2
Annual Dividend %,0.068
Ask,2.83
Ask Size,6300.0
B/A Ratio,0.36507936507936506
B/A Size,2300x6300
Beta,0.9
Bid,2.82
Bid Size,2300.0
Day Change $,-0.12
Day Change %,-0.0408
Day High,2.98
Day Low,2.77
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.59
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.531
Last (size),100.0
Last (time),1:39p ET 11/28/22
Market Cap,335.2M
"P/E Ratio (TTM, GAAP)",1.85
Prev Close,2.94
Price,2.82
Shares Outstanding,118.9M
Short Interest,0.0434
Today's Open,2.98
Volume Past Day,(Average)
