,SB
Price/Earnings (TTM),1.84714
Price/Sales (TTM),0.98304
Price/Book (MRQ),0.46786
Price/Cash Flow (TTM),1.43902
5yr Low,0.74
5yr High,5.44
5yr Avg Return,0.15740000000000004
EPS Growth 5yr,
Revenue Growth 5yr,0.2455152
Dividend Growth 5yr,
Short Int Current Month,3055784.0
Short Int Prev Month,3254190.0
Short Int Pct of Float,0.0433525
Days to Cover,2.94336
Float,70.48689
Shares Outstanding,118.8683
Institutions Holding Shares,136.0
% Held by Institutions,0.262027
FCF Growth 5yr,
