,TNET
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.46634615384615374
Growth 1yr High Est,0.4559819413092552
Growth 1yr Consensus Est,0.46116404757770446
Growth 2yr Low Est,0.07989438839848678
Growth 2yr High Est,0.19310724972439502
Growth 2yr Consensus Est,0.1365008190614409
Growth 5yr Low Est,0.10509870935075857
Growth 5yr High Est,0.1732497900539379
Growth 5yr Consensus Est,0.13917424970234824
Growth 5yr Actual/Est,0.1373591281905952
Growth 3yr Historic,0.15090090090090091
