,TNET
Price/Earnings (TTM),12.17532
Price/Sales (TTM),0.90056
Price/Book (MRQ),5.14557
Price/Cash Flow (TTM),9.41164
5yr Low,27.79
5yr High,109.4
5yr Avg Return,0.10551666666666668
EPS Growth 5yr,0.4267875
Revenue Growth 5yr,0.0820766
Dividend Growth 5yr,
Short Int Current Month,1439288.0
Short Int Prev Month,1804431.0
Short Int Pct of Float,0.024804499999999997
Days to Cover,3.27896
Float,58.19461
Shares Outstanding,62.23013
Institutions Holding Shares,344.0
% Held by Institutions,0.939732
FCF Growth 5yr,-0.3327094863321132
