,MLKN
Price/Earnings (TTM),28.92818
Price/Sales (TTM),0.40837
Price/Book (MRQ),1.25798
Price/Cash Flow (TTM),7.26066
5yr Low,14.39
5yr High,51.25
5yr Avg Return,-0.026083333333333337
EPS Growth 5yr,
Revenue Growth 5yr,0.1161255
Dividend Growth 5yr,-0.0307287
Short Int Current Month,4144308.0
Short Int Prev Month,4474002.0
Short Int Pct of Float,0.0553232
Days to Cover,6.7038
Float,75.08656
Shares Outstanding,75.55659
Institutions Holding Shares,315.0
% Held by Institutions,0.9604940000000001
FCF Growth 5yr,-0.059477980566313406
