,MLKN
% Above Low,0.473
% Held by Institutions,0.9605
52-Wk Range,['15.54 - 41.69']
Annual Dividend $,0.75
Annual Dividend %,0.032799999999999996
Ask,25.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,16.0
Bid Size,100.0
Closing Price,22.89
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-15 00:00:00
"EPS (TTM, GAAP)",0.79
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.485
Last (size),36.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",28.93
Prev Close,22.89
Shares Outstanding,75.6M
Short Interest,0.0553
Today's Open,
Volume,114988.0
Volume 10-day Avg,481589.0
Volume Past Day,(Light)
