,OMCL
Price/Earnings (TTM),51.42722
Price/Sales (TTM),1.775
Price/Book (MRQ),2.04671
Price/Cash Flow (TTM),17.50941
5yr Low,39.75
5yr High,187.29
5yr Avg Return,0.1365333333333333
EPS Growth 5yr,0.4373782
Revenue Growth 5yr,0.1021997
Dividend Growth 5yr,
Short Int Current Month,3178221.0
Short Int Prev Month,3283090.0
Short Int Pct of Float,0.0722544
Days to Cover,2.1945
Float,44.02529
Shares Outstanding,44.64984
Institutions Holding Shares,494.0
% Held by Institutions,1.024315
FCF Growth 5yr,-0.19437206730437095
