,OMCL
% Above Low,0.12689999999999999
% Held by Institutions,1.0243
52-Wk Range,['46.19 - 185.28']
Annual Dividend $,
Annual Dividend %,
Ask,54.11
Ask Size,100.0
Ask close,64.21
B/A Ratio,4.0
B/A Size,400x100
Beta,0.9
Bid,50.17
Bid Size,400.0
Bid close,40.2
Change Since Close,0.00| |(0.00%)
Closing Price,52.05
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.01
Ex-dividend Date,No dividend
Historical Volatility,0.5710000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,52.05
Market Cap,2.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",51.43
Prev Close,52.05
Shares Outstanding,44.6M
Short Interest,0.0723
Today's Open,
Volume,17.0
Volume 10-day Avg,589775.0
Volume Past Day,(Light)
