,RGA
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,1.1217008797653958
Growth 1yr High Est,0.9275362318840583
Growth 1yr Consensus Est,1.024618555824727
Growth 2yr Low Est,0.5687979174224352
Growth 2yr High Est,0.48381824125531236
Growth 2yr Consensus Est,0.5263080793388738
Growth 5yr Low Est,0.16069525500751392
Growth 5yr High Est,0.1431143799410236
Growth 5yr Consensus Est,0.15190481747426873
Growth 5yr Actual/Est,2.786750729273991
Growth 3yr Historic,-0.32133465462601457
