,RGA
Price/Earnings (TTM),17.00255
Price/Sales (TTM),0.58896
Price/Book (MRQ),2.61344
Price/Cash Flow (TTM),
5yr Low,55.39
5yr High,169.26
5yr Avg Return,-0.006533333333333336
EPS Growth 5yr,-0.034966699999999996
Revenue Growth 5yr,0.0728557
Dividend Growth 5yr,0.1288813
Short Int Current Month,684451.0
Short Int Prev Month,842374.0
Short Int Pct of Float,0.0102776
Days to Cover,1.01854
Float,66.62058
Shares Outstanding,66.836
Institutions Holding Shares,550.0
% Held by Institutions,0.979255
FCF Growth 5yr,1.0342271134904448
