,WAL
% Above Low,0.2107
% Held by Institutions,0.8589
52-Wk Range,['54.86 - 124.93']
Annual Dividend $,1.44
Annual Dividend %,0.020499999999999997
Ask,86.48
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,43.93
Bid Size,200.0
Closing Price,66.42
Day Change $,-3.66
Day Change %,-0.052199999999999996
Day High,69.3
Day Low,66.29
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",9.35
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.44700000000000006
Last (size),20500.0
Last (time),7:00p ET 11/28/22
Market Cap,7.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.5
Prev Close,70.08
Shares Outstanding,108.9M
Short Interest,0.0141
Today's Open,68.94
Volume,591438.0
Volume 10-day Avg,719118.0
Volume Past Day,(Below Average)
