,CSX
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,0.2348993288590604
Growth 1yr High Est,0.2292993630573248
Growth 1yr Consensus Est,0.2320993459581926
Growth 2yr Low Est,0.06581922964692144
Growth 2yr High Est,0.1457377644302168
Growth 2yr Consensus Est,0.10577849703856912
Growth 5yr Low Est,-0.14548297838306476
Growth 5yr High Est,-0.10709998295200304
Growth 5yr Consensus Est,-0.1262914806675339
Growth 5yr Actual/Est,0.09432544606809887
Growth 3yr Historic,0.03787383316487311
