,CSX
Price/Earnings (TTM),17.02856
Price/Sales (TTM),4.62674
Price/Book (MRQ),5.22762
Price/Cash Flow (TTM),12.13176
5yr Low,15.6
5yr High,38.63
5yr Avg Return,0.12301666666666668
EPS Growth 5yr,0.22723600000000002
Revenue Growth 5yr,0.0249745
Dividend Growth 5yr,0.0921875
Short Int Current Month,21429271.0
Short Int Prev Month,20758839.0
Short Int Pct of Float,0.010219100000000002
Days to Cover,1.45838
Float,2098.189
Shares Outstanding,2102.409
Institutions Holding Shares,1846.0
% Held by Institutions,0.737963
FCF Growth 5yr,0.23592519243442941
