,CSX
% Above Low,0.2411
% Held by Institutions,0.738
52-Wk Range,['25.80 - 38.63']
Annual Dividend $,0.4
Annual Dividend %,0.0125
Ask,32.28
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,1.2
Bid,31.82
Bid Size,600.0
Closing Price,32.02
Day Change $,-0.05
Day Change %,-0.0016
Day High,32.34
Day Low,31.99
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.88
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.28500000000000003
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,67.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.03
Prev Close,32.07
Shares Outstanding,2.1B
Short Interest,0.0102
Today's Open,32.28
Volume,5838389.0
Volume 10-day Avg,13715925.0
Volume Past Day,(Light)
