,OLED
Price/Earnings (TTM),27.4404
Price/Sales (TTM),8.72689
Price/Book (MRQ),4.32948
Price/Cash Flow (TTM),22.10634
5yr Low,78.75
5yr High,262.77
5yr Avg Return,0.03456666666666668
EPS Growth 5yr,0.3020188
Revenue Growth 5yr,0.2271753
Dividend Growth 5yr,
Short Int Current Month,1042150.0
Short Int Prev Month,1370961.0
Short Int Pct of Float,0.0239894
Days to Cover,1.99208
Float,43.44282
Shares Outstanding,47.23656
Institutions Holding Shares,500.0
% Held by Institutions,0.7611140000000001
FCF Growth 5yr,0.06489368514910043
