,OLED
% Above Low,0.227
% Held by Institutions,0.7611
52-Wk Range,['89.41 - 178.75']
Annual Dividend $,1.2
Annual Dividend %,0.0109
Ask,122.22
Ask Size,100.0
Ask close,116.23
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,105.0
Bid Size,100.0
Bid close,102.08
Change Since Close,-0.71| |(-0.65%)
Closing Price,109.71
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.0
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.55
Last (size),5.0
Last (time),1:00p ET 11/25/22
Last Trade,109.0
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.44
Prev Close,109.71
Shares Outstanding,47.2M
Short Interest,0.024
Today's Open,
Volume,38.0
Volume 10-day Avg,292692.0
Volume Past Day,(Light)
