,GH
Price/Earnings (TTM),
Price/Sales (TTM),12.25177
Price/Book (MRQ),31.64323
Price/Cash Flow (TTM),
5yr Low,27.04
5yr High,181.07
5yr Avg Return,0.2776
EPS Growth 5yr,
Revenue Growth 5yr,0.7141344
Dividend Growth 5yr,
Short Int Current Month,4212119.0
Short Int Prev Month,3988540.0
Short Int Pct of Float,0.0431536
Days to Cover,2.84941
Float,97.6314
Shares Outstanding,102.4362
Institutions Holding Shares,440.0
% Held by Institutions,0.919007
FCF Growth 5yr,0.7695547341363413
