,GH
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,5.916666666666667
Growth 1yr High Est,5.166666666666667
Growth 1yr Consensus Est,5.541666666666667
Growth 2yr Low Est,2.893574297188755
Growth 2yr High Est,2.5051480051480053
Growth 2yr Consensus Est,2.69936115116838
Growth 5yr Low Est,1.4467871485943775
Growth 5yr High Est,1.2525740025740026
Growth 5yr Consensus Est,1.34968057558419
Growth 5yr Actual/Est,0.7568411128623094
Growth 3yr Historic,0.6584249084249084
