,GH
% Above Low,0.8633
% Held by Institutions,0.919
52-Wk Range,['27.65 - 111.48']
Annual Dividend $,
Annual Dividend %,
Ask,53.0
Ask Size,200.0
B/A Ratio,6.5
B/A Size,1300x200
Beta,0.6
Bid,51.75
Bid Size,1300.0
Closing Price,51.52
Day Change $,1.45
Day Change %,0.028999999999999998
Day High,51.56
Day Low,49.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.94
Ex-dividend Date,No dividend
Historical Volatility,0.867
Last (size),18.0
Last (time),1:00p ET 11/25/22
Market Cap,5.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,50.07
Shares Outstanding,102.4M
Short Interest,0.0432
Today's Open,49.71
Volume,375309.0
Volume 10-day Avg,969843.0
Volume Past Day,(Light)
