,SPWH
Price/Earnings (TTM),4.48465
Price/Sales (TTM),0.25801
Price/Book (MRQ),1.36245
Price/Cash Flow (TTM),2.63011
5yr Low,3.41
5yr High,18.46
5yr Avg Return,0.25049999999999994
EPS Growth 5yr,0.2837855
Revenue Growth 5yr,0.14065709999999998
Dividend Growth 5yr,
Short Int Current Month,4671066.0
Short Int Prev Month,4856245.0
Short Int Pct of Float,0.122924
Days to Cover,12.2098
Float,37.99801
Shares Outstanding,38.86804
Institutions Holding Shares,176.0
% Held by Institutions,0.966833
FCF Growth 5yr,-0.48871854287609756
