,SPWH
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.4
Growth 1yr High Est,-0.31360946745562135
Growth 1yr Consensus Est,-0.3568047337278107
Growth 2yr Low Est,-0.15454545454545449
Growth 2yr High Est,0.0242297490308101
Growth 2yr Consensus Est,-0.0651578527573222
Growth 5yr Low Est,0.6102272727272728
Growth 5yr High Est,0.6805931353849702
Growth 5yr Consensus Est,0.6454102040561215
Growth 5yr Actual/Est,0.8499391414351979
Growth 3yr Historic,0.8789953248735808
