,YETI
Price/Earnings (TTM),18.83608
Price/Sales (TTM),2.21538
Price/Book (MRQ),6.39811
Price/Cash Flow (TTM),15.49043
5yr Low,12.4
5yr High,108.82
5yr Avg Return,0.3785
EPS Growth 5yr,0.33120849999999996
Revenue Growth 5yr,0.11495430000000001
Dividend Growth 5yr,
Short Int Current Month,7388646.0
Short Int Prev Month,7512897.0
Short Int Pct of Float,0.0859291
Days to Cover,3.80146
Float,85.97816
Shares Outstanding,86.24811
Institutions Holding Shares,463.0
% Held by Institutions,0.945514
FCF Growth 5yr,-0.695030257895812
