,YETI
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.0717131474103585
Growth 1yr High Est,-0.04313725490196074
Growth 1yr Consensus Est,-0.05742520115615962
Growth 2yr Low Est,0.022083340457910827
Growth 2yr High Est,0.11162809386049505
Growth 2yr Consensus Est,0.06685571715920294
Growth 5yr Low Est,0.022083340457910827
Growth 5yr High Est,0.11162809386049505
Growth 5yr Consensus Est,0.06685571715920294
Growth 5yr Actual/Est,0.2632890271873101
Growth 3yr Historic,0.23316622103386814
