,YETI
% Above Low,0.4806
% Held by Institutions,0.9455
52-Wk Range,['27.86 - 98.58']
Annual Dividend $,
Annual Dividend %,
Ask,41.6
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,2.5
Bid,39.22
Bid Size,100.0
Closing Price,41.25
Day Change $,0.4
Day Change %,0.0098
Day High,41.39
Day Low,40.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.17
Ex-dividend Date,No dividend
Historical Volatility,0.649
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,3.6B
"P/E Ratio (TTM, GAAP)",18.84
Prev Close,40.85
Shares Outstanding,86.2M
Short Interest,0.0859
Today's Open,40.23
Volume,928666.0
Volume 10-day Avg,1491495.0
Volume Past Day,(Light)
