,AMPH
% Above Low,0.519
% Held by Institutions,0.6189
52-Wk Range,['19.21 - 44.46']
Annual Dividend $,
Annual Dividend %,
Ask,29.48
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.7
Bid,28.88
Bid Size,1000.0
Closing Price,29.18
Day Change $,0.49
Day Change %,0.0171
Day High,29.45
Day Low,28.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.49
Ex-dividend Date,No dividend
Historical Volatility,0.528
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.61
Prev Close,28.69
Shares Outstanding,48.3M
Short Interest,0.0492
Today's Open,28.7
Volume,86831.0
Volume 10-day Avg,182760.0
Volume Past Day,(Light)
