,AMPH
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,4.607142857142857
Growth 1yr High Est,3.1219512195121952
Growth 1yr Consensus Est,3.864547038327526
Growth 2yr Low Est,2.367265696087352
Growth 2yr High Est,1.6201472073892336
Growth 2yr Consensus Est,1.9937064517382928
Growth 5yr Low Est,1.183632848043676
Growth 5yr High Est,0.8100736036946168
Growth 5yr Consensus Est,0.9968532258691464
Growth 5yr Actual/Est,0.5578341820712915
Growth 3yr Historic,0.4796006944444445
