,AMPH
Price/Earnings (TTM),19.61101
Price/Sales (TTM),2.90874
Price/Book (MRQ),2.80802
Price/Cash Flow (TTM),13.68961
5yr Low,12.33
5yr High,44.46
5yr Avg Return,0.08535
EPS Growth 5yr,0.4326702
Revenue Growth 5yr,0.1139984
Dividend Growth 5yr,
Short Int Current Month,1842830.0
Short Int Prev Month,1935577.0
Short Int Pct of Float,0.049231699999999996
Days to Cover,7.55193
Float,37.4318
Shares Outstanding,48.33119
Institutions Holding Shares,291.0
% Held by Institutions,0.618864
FCF Growth 5yr,-0.02740589242909223
