,LFUS
Price/Earnings (TTM),18.43321
Price/Sales (TTM),2.4704
Price/Book (MRQ),2.90207
Price/Cash Flow (TTM),13.59798
5yr Low,103.63
5yr High,334.84
5yr Avg Return,0.04935
EPS Growth 5yr,0.1988034
Revenue Growth 5yr,0.1451537
Dividend Growth 5yr,0.1025186
Short Int Current Month,314264.0
Short Int Prev Month,364982.0
Short Int Pct of Float,0.0129099
Days to Cover,2.76436
Float,24.34997
Shares Outstanding,24.75558
Institutions Holding Shares,475.0
% Held by Institutions,0.9766429999999999
FCF Growth 5yr,1.3961743138983038
