,LFUS
% Above Low,0.2741
% Held by Institutions,0.9765999999999999
52-Wk Range,['192.19 - 326.82']
Annual Dividend $,2.4
Annual Dividend %,0.0098
Ask,
Ask Size,
Ask close,260.17
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Bid close,228.15
Change Since Close,-7.32| |(-2.99%)
Closing Price,244.86
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",13.28
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.359
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,237.54
Market Cap,6.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.43
Prev Close,244.86
Shares Outstanding,24.8M
Short Interest,0.0129
Today's Open,
Volume,1.0
Volume 10-day Avg,87449.0
Volume Past Day,(Light)
