,SONO
% Above Low,0.2722
% Held by Institutions,0.8654000000000001
52-Wk Range,['13.65 - 33.03']
Annual Dividend $,
Annual Dividend %,
Ask,17.37
Ask Size,300.0
B/A Ratio,2.0
B/A Size,600x300
Beta,1.9
Bid,17.36
Bid Size,600.0
Day Change $,-0.235
Day Change %,-0.0134
Day High,17.7
Day Low,17.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.42
Ex-dividend Date,No dividend
Historical Volatility,0.5920000000000001
Last (size),100.0
Last (time),2:55p ET 11/28/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",41.48
Prev Close,17.6
Price,17.37
Shares Outstanding,126.7M
Short Interest,0.0785
Today's Open,17.4
Volume Past Day,(Light)
