,SONO
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.9439252336448598
Growth 1yr High Est,-0.7241379310344827
Growth 1yr Consensus Est,-0.8340315823396712
Growth 2yr Low Est,1.2780373831775704
Growth 2yr High Est,0.3410560344827587
Growth 2yr Consensus Est,0.8095467088301646
Growth 5yr Low Est,0.8520249221183803
Growth 5yr High Est,0.22737068965517246
Growth 5yr Consensus Est,0.5396978058867764
Growth 5yr Actual/Est,-1.4887797117372021
Growth 3yr Historic,-1.9610373647984267
