,SONO
Price/Earnings (TTM),41.48204
Price/Sales (TTM),1.2724
Price/Book (MRQ),3.97737
Price/Cash Flow (TTM),21.05723
5yr Low,6.58
5yr High,44.72
5yr Avg Return,0.11445999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.1204052
Dividend Growth 5yr,
Short Int Current Month,9768496.0
Short Int Prev Month,9697222.0
Short Int Pct of Float,0.0784785
Days to Cover,4.25005
Float,124.5881
Shares Outstanding,126.6855
Institutions Holding Shares,392.0
% Held by Institutions,0.8654430000000001
FCF Growth 5yr,-1.1080462629991075
