,WEAV
% Above Low,0.3643
% Held by Institutions,0.7939
52-Wk Range,['2.91 - 20.50']
Annual Dividend $,
Annual Dividend %,
Ask,8.5
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,
Bid,3.95
Bid Size,1000.0
Closing Price,3.97
Day Change $,-0.18
Day Change %,-0.0434
Day High,4.23
Day Low,3.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.85
Ex-dividend Date,No dividend
Historical Volatility,0.8440000000000001
Last (size),10.0
Last (time),7:00p ET 11/28/22
Market Cap,259.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.15
Shares Outstanding,65.6M
Short Interest,0.027000000000000003
Today's Open,4.13
Volume,113911.0
Volume 10-day Avg,146556.0
Volume Past Day,(Light)
