,WEAV
Price/Earnings (TTM),
Price/Sales (TTM),1.99723
Price/Book (MRQ),3.1393
Price/Cash Flow (TTM),
5yr Low,2.91
5yr High,22.4
5yr Avg Return,-0.5223
Short Int Current Month,1085717.0
Short Int Prev Month,1563891.0
Short Int Pct of Float,0.026962899999999998
Days to Cover,5.42815
Float,61.74479
Shares Outstanding,65.58231
Institutions Holding Shares,63.0
% Held by Institutions,0.793929
FCF Growth 5yr,0.08693195932080806
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
