,MSBI
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.0997067448680351
Growth 1yr High Est,0.11781609195402298
Growth 1yr Consensus Est,0.10876141841102904
Growth 2yr Low Est,0.02985337243401759
Growth 2yr High Est,0.03448645214667728
Growth 2yr Consensus Est,0.032169912290347435
Growth 5yr Low Est,0.13080651454318906
Growth 5yr High Est,0.11804967768624189
Growth 5yr Consensus Est,0.12442809611471548
Growth 5yr Actual/Est,0.4307656465531847
Growth 3yr Historic,0.42470622796709745
