,MSBI
% Above Low,0.1418
% Held by Institutions,0.5969
52-Wk Range,['23.48 - 30.60']
Annual Dividend $,1.16
Annual Dividend %,0.0433
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,26.81
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-21 00:00:00
"EPS (TTM, GAAP)",3.95
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.27899999999999997
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,593.8M
"P/E Ratio (TTM, GAAP)",6.79
Prev Close,26.81
Shares Outstanding,22.1M
Short Interest,0.0158
Today's Open,
Volume,14390.0
Volume 10-day Avg,48457.0
Volume Past Day,(Light)
