,MSBI
Price/Earnings (TTM),6.79195
Price/Sales (TTM),1.94659
Price/Book (MRQ),0.9413
Price/Cash Flow (TTM),5.78401
5yr Low,12.48
5yr High,36.06
5yr Avg Return,0.011283333333333336
EPS Growth 5yr,0.1042351
Revenue Growth 5yr,0.144229
Dividend Growth 5yr,0.25482479999999996
Short Int Current Month,330885.0
Short Int Prev Month,375348.0
Short Int Pct of Float,0.015754300000000002
Days to Cover,5.21292
Float,21.0416
Shares Outstanding,22.14947
Institutions Holding Shares,176.0
% Held by Institutions,0.596893
FCF Growth 5yr,0.7914116766080511
