,ETRN
Price/Earnings (TTM),
Price/Sales (TTM),2.80973
Price/Book (MRQ),3.64171
Price/Cash Flow (TTM),
5yr Low,3.75
5yr High,23.47
5yr Avg Return,-0.11398
EPS Growth 5yr,
Revenue Growth 5yr,0.12456640000000001
Dividend Growth 5yr,
Short Int Current Month,16667925.0
Short Int Prev Month,16390973.0
Short Int Pct of Float,0.0386715
Days to Cover,4.43314
Float,431.0131
Shares Outstanding,432.781
Institutions Holding Shares,408.0
% Held by Institutions,0.9527160000000001
FCF Growth 5yr,0.5466126346277119
