,KRNY
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.24242424242424243
Growth 1yr High Est,-0.16161616161616166
Growth 1yr Consensus Est,-0.20202020202020204
Growth 2yr Low Est,-0.08121212121212118
Growth 2yr High Est,-0.032615309723743435
Growth 2yr Consensus Est,-0.05691371546793231
Growth 5yr Low Est,0.05847119847119853
Growth 5yr High Est,0.08492312685083774
Growth 5yr Consensus Est,0.07169716266101812
Growth 5yr Actual/Est,0.13848819401784088
Growth 3yr Historic,0.15844155844155838
