,KRNY
Price/Earnings (TTM),10.23062
Price/Sales (TTM),3.05276
Price/Book (MRQ),0.74229
Price/Cash Flow (TTM),9.1035
5yr Low,6.91
5yr High,15.35
5yr Avg Return,-0.054016666666666664
EPS Growth 5yr,0.34081629999999996
Revenue Growth 5yr,0.1022119
Dividend Growth 5yr,0.3387321
Short Int Current Month,2909600.0
Short Int Prev Month,2960375.0
Short Int Pct of Float,0.0486918
Days to Cover,8.98238
Float,59.76226
Shares Outstanding,67.56777
Institutions Holding Shares,176.0
% Held by Institutions,0.668322
FCF Growth 5yr,0.27145053168965383
