,KRNY
% Above Low,0.0599
% Held by Institutions,0.6683
52-Wk Range,['9.02 - 13.89']
Annual Dividend $,0.44
Annual Dividend %,0.046
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,9.56
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",0.93
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.23500000000000001
Last (size),29.0
Last (time),1:00p ET 11/25/22
Market Cap,645.9M
"P/E Ratio (TTM, GAAP)",10.23
Prev Close,9.56
Shares Outstanding,67.6M
Short Interest,0.0487
Today's Open,
Volume,98996.0
Volume 10-day Avg,190724.0
Volume Past Day,(Light)
