,MDGL
% Above Low,0.2832
% Held by Institutions,0.7631
52-Wk Range,['52.33 - 105.93']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,67.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-16.02
Ex-dividend Date,No dividend
Historical Volatility,0.685
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,1.1B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,67.15
Shares Outstanding,17.1M
Short Interest,0.153
Today's Open,
Volume,92628.0
Volume 10-day Avg,263078.0
Volume Past Day,(Light)
