,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Neutral,-5.45,,,-8.08,,-4.44,,-6.26,-5.45,,
Year ending 12/2020,Neutral,-13.09,,1.401834862385321,-13.53,0.6745049504950493,-12.48,1.8108108108108105,-13.004999999999999,-13.09,1.401834862385321,1.24265788065293
Year ending 12/2021,Neutral,-14.63,,0.11764705882352944,-15.32,0.13229859571322988,-14.19,0.13701923076923062,-14.754999999999999,-14.63,0.11764705882352944,0.13465891324123025
Year ending 12/2022,Neutral,,-16.61,0.0,-17.38,0.1344647519582245,-14.53,0.023960535588442466,-16.61,-16.61,0.13533834586466154,0.07921264377333348
Year ending 12/2023,Neutral,,-17.28,0.0,-23.88,0.37399309551208293,-10.97,-0.24501032346868545,-17.28,-17.28,0.040337146297411364,0.06449138602169874
