,NKTR
Price/Earnings (TTM),
Price/Sales (TTM),6.40747
Price/Book (MRQ),1.47729
Price/Cash Flow (TTM),
5yr Low,2.96
5yr High,111.36
5yr Avg Return,-0.30641666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.09235760000000001
Dividend Growth 5yr,
Short Int Current Month,16785104.0
Short Int Prev Month,17351824.0
Short Int Pct of Float,0.0906545
Days to Cover,14.06978
Float,185.372
Shares Outstanding,187.9545
Institutions Holding Shares,301.0
% Held by Institutions,0.933396
FCF Growth 5yr,0.17836261553246516
