,NKTR
% Above Low,0.09460000000000002
% Held by Institutions,0.9334
52-Wk Range,['2.96 - 15.95']
Annual Dividend $,
Annual Dividend %,
Ask,3.72
Ask Size,100.0
Ask close,3.28
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,3.05
Bid Size,100.0
Bid close,3.21
Change Since Close,-0.03| |(-0.93%)
Closing Price,3.24
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.44
Ex-dividend Date,No dividend
Historical Volatility,1.178
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,3.21
Market Cap,609.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,3.24
Shares Outstanding,188.0M
Short Interest,0.0907
Today's Open,
Volume,4.0
Volume 10-day Avg,1199632.0
Volume Past Day,(Light)
