,THRM
% Above Low,0.39780000000000004
% Held by Institutions,1.0146
52-Wk Range,['49.45 - 99.00']
Annual Dividend $,
Annual Dividend %,
Ask,69.21
Ask Size,200.0
Ask close,84.57
B/A Ratio,1.5
B/A Size,300x200
Beta,1.3
Bid,69.11
Bid Size,300.0
Bid close,53.4
Change Since Close,0.02| |(0.03%)
Closing Price,69.12
Day Change $,-2.36
Day Change %,-0.033
Day High,70.79
Day Low,68.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.45
Ex-dividend Date,No dividend
Historical Volatility,0.488
Last (size),255.0
Last (time),3:59p ET 11/28/22
Last Trade,69.14
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",49.15
Prev Close,71.48
Shares Outstanding,33.2M
Short Interest,0.0282
Today's Open,70.71
Volume,59551.0
Volume 10-day Avg,124166.0
Volume Past Day,(Light)
