,THRM
Price/Earnings (TTM),49.15147
Price/Sales (TTM),2.13868
Price/Book (MRQ),3.80215
Price/Cash Flow (TTM),26.80929
5yr Low,27.24
5yr High,99.0
5yr Avg Return,0.13955000000000004
EPS Growth 5yr,0.059059799999999996
Revenue Growth 5yr,0.026568900000000003
Dividend Growth 5yr,
Short Int Current Month,927273.0
Short Int Prev Month,1320610.0
Short Int Pct of Float,0.028181699999999997
Days to Cover,3.47063
Float,32.92151
Shares Outstanding,33.19807
Institutions Holding Shares,302.0
% Held by Institutions,1.0145650000000002
FCF Growth 5yr,0.226753831624924
