,GWH
% Above Low,0.3166
% Held by Institutions,0.39299999999999996
52-Wk Range,['2.59 - 16.68']
Annual Dividend $,
Annual Dividend %,
Ask,3.62
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,
Bid,3.2
Bid Size,400.0
Closing Price,3.41
Day Change $,0.09
Day Change %,0.0271
Day High,3.46
Day Low,3.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.51
Ex-dividend Date,No dividend
Historical Volatility,0.968
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,522.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.32
Shares Outstanding,153.3M
Short Interest,0.1143
Today's Open,3.37
Volume,541119.0
Volume 10-day Avg,1584516.0
Volume Past Day,(Light)
