,GWH
Price/Earnings (TTM),
Price/Sales (TTM),595.2306
Price/Book (MRQ),3.29489
Price/Cash Flow (TTM),
5yr Low,2.59
5yr High,28.92
5yr Avg Return,-0.19039999999999996
Short Int Current Month,9697200.0
Short Int Prev Month,9201686.0
Short Int Pct of Float,0.114331
Days to Cover,7.35549
Float,84.81692
Shares Outstanding,153.2588
Institutions Holding Shares,130.0
% Held by Institutions,0.393001
FCF Growth 5yr,0.28066991711652767
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
