,SGHT
% Above Low,1.0093
% Held by Institutions,0.6829000000000001
52-Wk Range,['5.35 - 23.03']
Annual Dividend $,
Annual Dividend %,
Ask,10.77
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,10.72
Bid Size,200.0
Day Change $,0.35
Day Change %,0.0337
Day High,10.85
Day Low,10.18
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.79
Ex-dividend Date,No dividend
Historical Volatility,0.873
Last (size),8.0
Last (time),2:07p ET 11/28/22
Market Cap,518.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.4
Price,10.75
Shares Outstanding,48.2M
Short Interest,0.041100000000000005
Today's Open,10.18
Volume Past Day,(Light)
