,SGHT
Price/Earnings (TTM),
Price/Sales (TTM),7.64867
Price/Book (MRQ),2.89158
Price/Cash Flow (TTM),
5yr Low,5.35
5yr High,42.57
5yr Avg Return,-0.40295000000000003
Short Int Current Month,1482889.0
Short Int Prev Month,1710289.0
Short Int Pct of Float,0.041137
Days to Cover,6.3251
Float,40.43422
Shares Outstanding,48.1513
Institutions Holding Shares,96.0
% Held by Institutions,0.682896
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
