,SGHT
Next Earnings Announcement,2023-03-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.515228426395939
Growth 1yr High Est,0.1806451612903226
Growth 1yr Consensus Est,-0.1672916325528082
Growth 2yr Low Est,-0.3282948414702208
Growth 2yr High Est,-0.13372113520183326
Growth 2yr Consensus Est,-0.23100798833602704
Growth 5yr Low Est,-0.3282948414702208
Growth 5yr High Est,-0.13372113520183326
Growth 5yr Consensus Est,-0.23100798833602704
Growth 5yr Actual/Est,-0.24034080554036807
Growth 3yr Historic,0.0
