,COOK
Price/Earnings (TTM),
Price/Sales (TTM),0.59476
Price/Book (MRQ),1.13355
Price/Cash Flow (TTM),
5yr Low,2.52
5yr High,32.59
5yr Avg Return,-0.5851500000000001
Short Int Current Month,6789952.0
Short Int Prev Month,7752575.0
Short Int Pct of Float,0.1160834
Days to Cover,9.32682
Float,110.147
Shares Outstanding,122.6165
Institutions Holding Shares,122.0
% Held by Institutions,0.8521930000000001
FCF Growth 5yr,-0.2217572218735934
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
