,COOK
Next Earnings Announcement,2023-03-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.6956521739130435
Growth 2yr High Est,-5.0
Growth 2yr Consensus Est,-2.1521739130434785
Growth 5yr Low Est,0.6956521739130435
Growth 5yr High Est,-5.0
Growth 5yr Consensus Est,-2.1521739130434785
Growth 5yr Actual/Est,-1.0083333333333333
Growth 3yr Historic,0.0
