,COOK
% Above Low,0.336
% Held by Institutions,0.8522
52-Wk Range,['2.52 - 14.43']
Annual Dividend $,
Annual Dividend %,
Ask,3.65
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,
Bid,2.7
Bid Size,500.0
Closing Price,3.36
Day Change $,-0.04
Day Change %,-0.0118
Day High,3.48
Day Low,3.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.23
Ex-dividend Date,No dividend
Historical Volatility,0.812
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,412.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.4
Shares Outstanding,122.6M
Short Interest,0.1161
Today's Open,3.43
Volume,237198.0
Volume 10-day Avg,760024.0
Volume Past Day,(Light)
